




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (150)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
omega-hydroxylase P450 pathway (GO:0097267)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
lipoprotein biosynthetic process (GO:0042158)	89	0	.65	-	 < 0.01	1.00E00	1.00E00
lipoprotein metabolic process (GO:0042157)	121	0	.88	-	 < 0.01	1.00E00	1.00E00
self proteolysis (GO:0097264)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
melatonin biosynthetic process (GO:0030187)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
melatonin metabolic process (GO:0030186)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
nitric oxide transport (GO:0030185)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
B cell differentiation (GO:0030183)	119	0	.87	-	 < 0.01	1.00E00	1.00E00
regulation of locomotor rhythm (GO:1904059)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of sensory perception of pain (GO:1904058)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of sensory perception of pain (GO:1904057)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of cholangiocyte proliferation (GO:1904056)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cholangiocyte proliferation (GO:1904054)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
glycerol ether biosynthetic process (GO:0046504)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
glycerolipid catabolic process (GO:0046503)	60	0	.44	-	 < 0.01	1.00E00	1.00E00
isoprenoid biosynthetic process (GO:0008299)	28	0	.20	-	 < 0.01	1.00E00	1.00E00
uroporphyrinogen III metabolic process (GO:0046502)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
intracellular mRNA localization (GO:0008298)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
protoporphyrinogen IX metabolic process (GO:0046501)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of spontaneous neurotransmitter secretion (GO:1904050)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
S-adenosylmethionine metabolic process (GO:0046500)	16	0	.12	-	 < 0.01	1.00E00	1.00E00
cellular response to glucose starvation (GO:0042149)	48	0	.35	-	 < 0.01	1.00E00	1.00E00
spermidine biosynthetic process (GO:0008295)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
strand invasion (GO:0042148)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
retrograde transport, endosome to Golgi (GO:0042147)	90	0	.66	-	 < 0.01	1.00E00	1.00E00
renal tubular secretion (GO:0097254)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
acetylcholine biosynthetic process (GO:0008292)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
acetylcholine metabolic process (GO:0008291)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
vacuole fusion, non-autophagic (GO:0042144)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oligodendrocyte apoptotic process (GO:0097252)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial respirasome assembly (GO:0097250)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of DNA-dependent DNA replication initiation (GO:0030174)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of spontaneous neurotransmitter secretion (GO:1904049)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of spontaneous neurotransmitter secretion (GO:1904048)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of endothelial cell migration (GO:0010596)	53	0	.39	-	 < 0.01	1.00E00	1.00E00
negative regulation of vascular endothelial growth factor production (GO:1904046)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of endothelial cell migration (GO:0010595)	108	0	.79	-	 < 0.01	1.00E00	1.00E00
cellular response to aldosterone (GO:1904045)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of endothelial cell migration (GO:0010594)	170	0	1.24	-	 < 0.01	6.38E-01	1.00E00
response to aldosterone (GO:1904044)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of lamellipodium assembly (GO:0010593)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of cystathionine beta-synthase activity (GO:1904042)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cystathionine beta-synthase activity (GO:1904041)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
insulin receptor signaling pathway (GO:0008286)	85	0	.62	-	 < 0.01	1.00E00	1.00E00
meiotic DNA double-strand break formation (GO:0042138)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
sequestering of neurotransmitter (GO:0042137)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neurotransmitter biosynthetic process (GO:0042136)	18	0	.13	-	 < 0.01	1.00E00	1.00E00
neurotransmitter catabolic process (GO:0042135)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
neurotransmitter metabolic process (GO:0042133)	31	0	.23	-	 < 0.01	1.00E00	1.00E00
hematopoietic stem cell migration to bone marrow (GO:0097241)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
chromosome attachment to the nuclear envelope (GO:0097240)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
platelet activation (GO:0030168)	140	0	1.02	-	 < 0.01	6.30E-01	1.00E00
proteoglycan catabolic process (GO:0030167)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
proteoglycan biosynthetic process (GO:0030166)	60	0	.44	-	 < 0.01	1.00E00	1.00E00
negative regulation of iron export across plasma membrane (GO:1904039)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of iron export across plasma membrane (GO:1904038)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of epithelial cell apoptotic process (GO:1904037)	35	0	.25	-	 < 0.01	1.00E00	1.00E00
miRNA catabolic process (GO:0010587)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of epithelial cell apoptotic process (GO:1904036)	46	0	.34	-	 < 0.01	1.00E00	1.00E00
miRNA metabolic process (GO:0010586)	21	0	.15	-	 < 0.01	1.00E00	1.00E00
glutamine secretion (GO:0010585)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of epithelial cell apoptotic process (GO:1904035)	85	0	.62	-	 < 0.01	1.00E00	1.00E00
cellular response to methylglyoxal (GO:0097238)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cyclin-dependent protein kinase activity (GO:1904030)	30	0	.22	-	 < 0.01	1.00E00	1.00E00
nitrate metabolic process (GO:0042126)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
protein galactosylation (GO:0042125)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sulfate transport (GO:0008272)	18	0	.13	-	 < 0.01	1.00E00	1.00E00
response to vitamin B6 (GO:0034516)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial unfolded protein response (GO:0034514)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
pancreatic juice secretion (GO:0030157)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
protein import into mitochondrial matrix (GO:0030150)	20	0	.15	-	 < 0.01	1.00E00	1.00E00
positive regulation of collagen fibril organization (GO:1904028)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of adenylate cyclase activity involved in G protein-coupled receptor signaling pathway (GO:0010578)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of collagen fibril organization (GO:1904027)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of collagen fibril organization (GO:1904026)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of vascular endothelial growth factor production (GO:0010575)	28	0	.20	-	 < 0.01	1.00E00	1.00E00
positive regulation of glucose catabolic process to lactate via pyruvate (GO:1904025)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of vascular endothelial growth factor production (GO:0010574)	32	0	.23	-	 < 0.01	1.00E00	1.00E00
negative regulation of glucose catabolic process to lactate via pyruvate (GO:1904024)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of glucose catabolic process to lactate via pyruvate (GO:1904023)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
vascular endothelial growth factor production (GO:0010573)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of platelet activation (GO:0010572)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of G protein-coupled receptor internalization (GO:1904022)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of nuclear cell cycle DNA replication (GO:0010571)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of G protein-coupled receptor internalization (GO:1904021)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of G protein-coupled receptor internalization (GO:1904020)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
endothelial cell activation (GO:0042118)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
monocyte activation (GO:0042117)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
centromere complex assembly (GO:0034508)	38	0	.28	-	 < 0.01	1.00E00	1.00E00
macrophage activation (GO:0042116)	54	0	.39	-	 < 0.01	1.00E00	1.00E00
tooth mineralization (GO:0034505)	17	0	.12	-	 < 0.01	1.00E00	1.00E00
mitochondrial mRNA polyadenylation (GO:0097222)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
B cell activation (GO:0042113)	168	0	1.22	-	 < 0.01	6.37E-01	1.00E00
protein localization to chromosome (GO:0034502)	69	0	.50	-	 < 0.01	1.00E00	1.00E00
protein localization to kinetochore (GO:0034501)	15	0	.11	-	 < 0.01	1.00E00	1.00E00
sphingolipid biosynthetic process (GO:0030148)	99	0	.72	-	 < 0.01	1.00E00	1.00E00
regulation of double-strand break repair via homologous recombination (GO:0010569)	48	0	.35	-	 < 0.01	1.00E00	1.00E00
positive regulation of vasculature development (GO:1904018)	160	0	1.17	-	 < 0.01	6.34E-01	1.00E00
cellular response to Thyroglobulin triiodothyronine (GO:1904017)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of ketone biosynthetic process (GO:0010566)	17	0	.12	-	 < 0.01	1.00E00	1.00E00
response to Thyroglobulin triiodothyronine (GO:1904016)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of cellular ketone metabolic process (GO:0010565)	192	0	1.40	-	 < 0.01	6.52E-01	1.00E00
cellular response to serotonin (GO:1904015)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to serotonin (GO:1904014)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of glycoprotein biosynthetic process (GO:0010560)	24	0	.17	-	 < 0.01	1.00E00	1.00E00
response to Aroclor 1254 (GO:1904010)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of lysosomal membrane permeability (GO:0097214)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of lysosomal membrane permeability (GO:0097213)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of activated T cell proliferation (GO:0042104)	25	0	.18	-	 < 0.01	1.00E00	1.00E00
lysosomal membrane organization (GO:0097212)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
cellular response to gonadotropin-releasing hormone (GO:0097211)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
response to gonadotropin-releasing hormone (GO:0097210)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of T cell proliferation (GO:0042102)	101	0	.74	-	 < 0.01	1.00E00	1.00E00
B cell proliferation (GO:0042100)	41	0	.30	-	 < 0.01	1.00E00	1.00E00
regulation of lung blood pressure (GO:0014916)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of smooth muscle cell migration (GO:0014912)	27	0	.20	-	 < 0.01	1.00E00	1.00E00
positive regulation of smooth muscle cell migration (GO:0014911)	39	0	.28	-	 < 0.01	1.00E00	1.00E00
regulation of smooth muscle cell migration (GO:0014910)	67	0	.49	-	 < 0.01	1.00E00	1.00E00
cellular response to monosodium glutamate (GO:1904009)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA threonylcarbamoyladenosine modification (GO:0002949)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
response to monosodium glutamate (GO:1904008)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA C5-cytosine methylation (GO:0002946)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of sebum secreting cell proliferation (GO:1904003)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA dihydrouridine synthesis (GO:0002943)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of sebum secreting cell proliferation (GO:1904002)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of eating behavior (GO:1904000)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA N2-guanine methylation (GO:0002940)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
renal filtration (GO:0097205)	16	0	.12	-	 < 0.01	1.00E00	1.00E00
activation of cysteine-type endopeptidase activity (GO:0097202)	16	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of transcription from RNA polymerase II promoter in response to stress (GO:0097201)	13	0	.09	-	 < 0.01	1.00E00	1.00E00
smooth muscle cell migration (GO:0014909)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
myotube differentiation involved in skeletal muscle regeneration (GO:0014908)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
myoblast fusion involved in skeletal muscle regeneration (GO:0014905)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
myotube cell development (GO:0014904)	28	0	.20	-	 < 0.01	1.00E00	1.00E00
satellite cell activation involved in skeletal muscle regeneration (GO:0014901)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
muscle hyperplasia (GO:0014900)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA N1-guanine methylation (GO:0002939)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of platelet activation (GO:0010544)	19	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of platelet activation (GO:0010543)	36	0	.26	-	 < 0.01	1.00E00	1.00E00
desmosome organization (GO:0002934)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
retina vasculature morphogenesis in camera-type eye (GO:0061299)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
lipid hydroxylation (GO:0002933)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
retina vasculature development in camera-type eye (GO:0061298)	17	0	.12	-	 < 0.01	1.00E00	1.00E00
response to ischemia (GO:0002931)	58	0	.42	-	 < 0.01	1.00E00	1.00E00
trabecular meshwork development (GO:0002930)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
canonical Wnt signaling pathway involved in metanephric kidney development (GO:0061290)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of activation of Janus kinase activity (GO:0010536)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation (GO:0002926)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of humoral immune response mediated by circulating immunoglobulin (GO:0002925)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of humoral immune response mediated by circulating immunoglobulin (GO:0002924)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of activation of Janus kinase activity (GO:0010533)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of humoral immune response mediated by circulating immunoglobulin (GO:0002923)	18	0	.13	-	 < 0.01	1.00E00	1.00E00
Wnt signaling pathway involved in kidney development (GO:0061289)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
opsonization (GO:0008228)	72	0	.52	-	 < 0.01	1.00E00	1.00E00
positive regulation of humoral immune response (GO:0002922)	22	0	.16	-	 < 0.01	1.00E00	1.00E00
negative regulation of humoral immune response (GO:0002921)	17	0	.12	-	 < 0.01	1.00E00	1.00E00
regulation of humoral immune response (GO:0002920)	142	0	1.03	-	 < 0.01	6.30E-01	1.00E00
water homeostasis (GO:0030104)	81	0	.59	-	 < 0.01	1.00E00	1.00E00
vasopressin secretion (GO:0030103)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of transposition (GO:0010529)	27	0	.20	-	 < 0.01	1.00E00	1.00E00
regulation of transposition (GO:0010528)	27	0	.20	-	 < 0.01	1.00E00	1.00E00
negative regulation of transposition, RNA-mediated (GO:0010526)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of transposition, RNA-mediated (GO:0010525)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of calcium ion transport into cytosol (GO:0010524)	57	0	.42	-	 < 0.01	1.00E00	1.00E00
negative regulation of calcium ion transport into cytosol (GO:0010523)	18	0	.13	-	 < 0.01	1.00E00	1.00E00
regulation of calcium ion transport into cytosol (GO:0010522)	101	0	.74	-	 < 0.01	1.00E00	1.00E00
positive regulation of lymphocyte anergy (GO:0002913)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of blood pressure (GO:0008217)	188	0	1.37	-	 < 0.01	6.49E-01	1.00E00
regulation of lymphocyte anergy (GO:0002911)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of reciprocal meiotic recombination (GO:0010520)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
spermidine metabolic process (GO:0008216)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
spermine metabolic process (GO:0008215)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
protein dealkylation (GO:0008214)	34	0	.25	-	 < 0.01	1.00E00	1.00E00
protein alkylation (GO:0008213)	131	0	.95	-	 < 0.01	1.00E00	1.00E00
mineralocorticoid metabolic process (GO:0008212)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
glucocorticoid metabolic process (GO:0008211)	15	0	.11	-	 < 0.01	1.00E00	1.00E00
estrogen metabolic process (GO:0008210)	39	0	.28	-	 < 0.01	1.00E00	1.00E00
negative regulation of phospholipase activity (GO:0010519)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of phospholipase activity (GO:0010518)	62	0	.45	-	 < 0.01	1.00E00	1.00E00
regulation of phospholipase activity (GO:0010517)	73	0	.53	-	 < 0.01	1.00E00	1.00E00
negative regulation of mature B cell apoptotic process (GO:0002906)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of mature B cell apoptotic process (GO:0002905)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of B cell apoptotic process (GO:0002904)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of phosphatidylinositol biosynthetic process (GO:0010513)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
androgen metabolic process (GO:0008209)	29	0	.21	-	 < 0.01	1.00E00	1.00E00
negative regulation of B cell apoptotic process (GO:0002903)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of phosphatidylinositol biosynthetic process (GO:0010512)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of B cell apoptotic process (GO:0002902)	18	0	.13	-	 < 0.01	1.00E00	1.00E00
positive regulation of autophagy of mitochondrion (GO:1903599)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of phosphatidylinositol biosynthetic process (GO:0010511)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of acetyl-CoA biosynthetic process from pyruvate (GO:0010510)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of gap junction assembly (GO:1903598)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of gap junction assembly (GO:1903597)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of gap junction assembly (GO:1903596)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of histamine secretion by mast cell (GO:1903595)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of histamine secretion by mast cell (GO:1903593)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
polyamine homeostasis (GO:0010509)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of autophagy (GO:0010507)	84	0	.61	-	 < 0.01	1.00E00	1.00E00
positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:1903589)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
RNA secondary structure unwinding (GO:0010501)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:1903588)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:1903587)	16	0	.12	-	 < 0.01	1.00E00	1.00E00
positive regulation of histone deubiquitination (GO:1903586)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of histone deubiquitination (GO:1903584)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of ATP metabolic process (GO:1903580)	42	0	.31	-	 < 0.01	1.00E00	1.00E00
negative regulation of ATP metabolic process (GO:1903579)	28	0	.20	-	 < 0.01	1.00E00	1.00E00
regulation of ATP metabolic process (GO:1903578)	119	0	.87	-	 < 0.01	1.00E00	1.00E00
cellular response to L-arginine (GO:1903577)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
response to L-arginine (GO:1903576)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
cornified envelope assembly (GO:1903575)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein kinase D signaling (GO:1903572)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of protein kinase D signaling (GO:1903570)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein localization to ciliary membrane (GO:1903569)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein localization to ciliary membrane (GO:1903568)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to ciliary membrane (GO:1903567)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein localization to cilium (GO:1903566)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein localization to cilium (GO:1903565)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to cilium (GO:1903564)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
pattern specification involved in mesonephros development (GO:0061227)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of tumor necrosis factor superfamily cytokine production (GO:1903556)	62	0	.45	-	 < 0.01	1.00E00	1.00E00
